# Gene Family	A19_Abundance-RPKs
UniRef90_A0A0R2JEY5|g__Carnobacterium.s__Carnobacterium_divergens	858.0246913580
UniRef90_A0A0R2JEY5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	444.4444444444
UniRef90_A0A2N5JJA2	1296.9649313616
UniRef90_A0A2N5JJA2|g__Carnobacterium.s__Carnobacterium_divergens	983.4268988584
UniRef90_A0A2N5JJA2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	313.5380325031
UniRef90_A0A0R2I4L0	1288.6344443892
UniRef90_A0A0R2I4L0|g__Carnobacterium.s__Carnobacterium_divergens	1288.6344443892
UniRef90_A0A0R2JA98	1287.1685101110
UniRef90_A0A0R2JA98|g__Carnobacterium.s__Carnobacterium_divergens	1047.3036452461
UniRef90_A0A0R2JA98|g__Carnobacterium.s__Carnobacterium_maltaromaticum	239.8648648649
UniRef90_A0A0R2HUE1	1268.3726293471
UniRef90_A0A0R2HUE1|g__Carnobacterium.s__Carnobacterium_divergens	1268.3726293471
UniRef90_A0A0R2J9N5	1248.6124435916
UniRef90_A0A0R2J9N5|g__Carnobacterium.s__Carnobacterium_divergens	1135.6109867462
UniRef90_A0A0R2J9N5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	113.0014568454
UniRef90_B1MW10	1236.7384269031
UniRef90_B1MW10|g__Leuconostoc.s__Leuconostoc_gelidum	1236.7384269031
UniRef90_Q7NFF1	1231.4439946019
UniRef90_Q7NFF1|g__Carnobacterium.s__Carnobacterium_divergens	1128.8798920378
UniRef90_Q7NFF1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	102.5641025641
UniRef90_A0A0R2JA02	1225.7740219403
UniRef90_A0A0R2JA02|g__Carnobacterium.s__Carnobacterium_divergens	871.8477398890
UniRef90_A0A0R2JA02|g__Carnobacterium.s__Carnobacterium_maltaromaticum	353.9262820513
UniRef90_A0A0R2HYJ8	1224.9049818577
UniRef90_A0A0R2HYJ8|g__Carnobacterium.s__Carnobacterium_divergens	1224.9049818577
UniRef90_A0A0R2HY11	1199.3127147766
UniRef90_A0A0R2HY11|g__Carnobacterium.s__Carnobacterium_divergens	1199.3127147766
UniRef90_A0A0R2HWC5	1194.0137572039
UniRef90_A0A0R2HWC5|g__Carnobacterium.s__Carnobacterium_divergens	1194.0137572039
UniRef90_A0A7R8ZB76	1192.9045375583
UniRef90_A0A7R8ZB76|g__Vagococcus.s__Vagococcus_proximus	1192.9045375583
UniRef90_A0A0R2KAM9	1190.4761904762
UniRef90_A0A0R2KAM9|g__Carnobacterium.s__Carnobacterium_divergens	1150.7936507937
UniRef90_A0A0R2KAM9|g__Carnobacterium.s__Carnobacterium_maltaromaticum	39.6825396825
UniRef90_A0A0R2HYI2	1189.6487025948
UniRef90_A0A0R2HYI2|g__Carnobacterium.s__Carnobacterium_divergens	1189.6487025948
UniRef90_A0A0R2I661	1182.2010534333
UniRef90_A0A0R2I661|g__Carnobacterium.s__Carnobacterium_divergens	1182.2010534333
UniRef90_A0A0R2KEV3	1180.4930981158
UniRef90_A0A0R2KEV3|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1180.4930981158
UniRef90_A0A0R2HP41	1152.6860925927
UniRef90_A0A0R2HP41|g__Carnobacterium.s__Carnobacterium_divergens	1152.6860925927
UniRef90_A0A0R2J988	1139.4335511983
UniRef90_A0A0R2J988|g__Carnobacterium.s__Carnobacterium_divergens	1102.3965141612
UniRef90_A0A0R2J988|g__Carnobacterium.s__Carnobacterium_maltaromaticum	37.0370370370
UniRef90_A0A0R2HZ28	1137.6811594203
UniRef90_A0A0R2HZ28|g__Carnobacterium.s__Carnobacterium_divergens	1137.6811594203
UniRef90_Q04GL9	1127.0476190476
UniRef90_Q04GL9|g__Leuconostoc.s__Leuconostoc_gelidum	1127.0476190476
UniRef90_A0A0R2HWS4	1122.4719101124
UniRef90_A0A0R2HWS4|g__Carnobacterium.s__Carnobacterium_divergens	1122.4719101124
UniRef90_A0A0R2I5Z7	1120.5206381677
UniRef90_A0A0R2I5Z7|g__Carnobacterium.s__Carnobacterium_divergens	1120.5206381677
UniRef90_A0A0R2I2B7	1114.3184296619
UniRef90_A0A0R2I2B7|g__Carnobacterium.s__Carnobacterium_divergens	1114.3184296619
UniRef90_Q03W83	1070.7070707071
UniRef90_Q03W83|g__Leuconostoc.s__Leuconostoc_gelidum	1070.7070707071
UniRef90_A0A0R2JCR5	1067.8862962991
UniRef90_A0A0R2JCR5|g__Carnobacterium.s__Carnobacterium_divergens	852.8232432788
UniRef90_A0A0R2JCR5|g__Carnobacterium.s__Carnobacterium_maltaromaticum	215.0630530203
UniRef90_I0QLS6	1053.9682539682
UniRef90_I0QLS6|g__Vagococcus.s__Vagococcus_proximus	1053.9682539682
UniRef90_S0K1G2	1037.8095592976
UniRef90_S0K1G2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1037.8095592976
UniRef90_A0A484ZC93	1031.0380329457
UniRef90_A0A484ZC93|g__Vagococcus.s__Vagococcus_proximus	1031.0380329457
UniRef90_A0A066Z7U8	1015.2276679229
UniRef90_A0A066Z7U8|g__Carnobacterium.s__Carnobacterium_divergens	534.2535431132
UniRef90_A0A066Z7U8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	480.9741248097
UniRef90_A0A0R2HVL0	991.6513703948
UniRef90_A0A0R2HVL0|g__Carnobacterium.s__Carnobacterium_divergens	991.6513703948
UniRef90_A1JHR4	989.3641888733
UniRef90_A1JHR4|g__Vagococcus.s__Vagococcus_proximus	989.3641888733
UniRef90_A0A0R2I7S6	988.1036317791
UniRef90_A0A0R2I7S6|g__Carnobacterium.s__Carnobacterium_divergens	988.1036317791
UniRef90_A0A377KFS1	986.2771543144
UniRef90_A0A377KFS1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	986.2771543144
UniRef90_A0A2N5JDF0	974.9562348081
UniRef90_A0A2N5JDF0|g__Carnobacterium.s__Carnobacterium_maltaromaticum	974.9562348081
UniRef90_A0A0R2HWG5	966.1257022135
UniRef90_A0A0R2HWG5|g__Carnobacterium.s__Carnobacterium_divergens	966.1257022135
UniRef90_Q03ZM1	964.7435897436
UniRef90_Q03ZM1|g__Leuconostoc.s__Leuconostoc_gelidum	964.7435897436
UniRef90_A0A0R2I4T8	962.8160883533
UniRef90_A0A0R2I4T8|g__Carnobacterium.s__Carnobacterium_divergens	962.8160883533
UniRef90_D5T3M8	947.0404984424
UniRef90_D5T3M8|g__Leuconostoc.s__Leuconostoc_gelidum	947.0404984424
UniRef90_K0DBC7	946.9406291127
UniRef90_K0DBC7|g__Leuconostoc.s__Leuconostoc_gelidum	946.9406291127
UniRef90_A0A0R2JGY1	945.9210483348
UniRef90_A0A0R2JGY1|g__Carnobacterium.s__Carnobacterium_divergens	817.3209757908
UniRef90_A0A0R2JGY1|g__Carnobacterium.s__Carnobacterium_maltaromaticum	128.6000725440
